user,message_id,sentiment,content,date,time
GIC,/GIC/message/226143973,Bullish,$SPY Let’s go back to $316+,2020/07/08,15:52:35
RealTimeTradingIdeas,/RealTimeTradingIdeas/message/226143853,Bearish,$SPY  Charts are showing downside vulnerability,2020/07/08,15:52:35
Jakethesnake69,/Jakethesnake69/message/226144980,Bullish,$SPY get above 315.5 and let’s run all day,2020/07/08,15:54:36
LittlSecy,/LittlSecy/message/226144877,Bearish,$SPY $DJIA Robinhooders for the next 5 years. 👇,2020/07/08,15:54:36
DontBadgerMe,/DontBadgerMe/message/226144775,Bullish,$SPY Fed sees no signs of excess,2020/07/08,15:54:36
yamiletgonzalez50,/yamiletgonzalez50/message/226145556,Bullish,"$WMT $ROKU $SPY $BA $GOOG   If you’re interested in day trading Stocks and Options, You can check this community: !!!!https://zws.im/‍‍‌‍‌‌‌‌‍‌‍‌‌‌‍‌",2020/07/08,15:55:37
whodunnit1,/whodunnit1/message/226146149,Bullish,"$SPY Too many trapped bears, it'll walk higher this week",2020/07/08,15:57:38
armandhammer,/armandhammer/message/226146144,Bearish,$SPY show me some leg boo,2020/07/08,15:57:38
smark21,/smark21/message/226146086,Bullish,$SQ HATERS WILL SAY ITS PHOTO SHOPPED  $SPY $QQQ,2020/07/08,15:57:38
JohnC9222,/JohnC9222/message/226146028,Bullish,"$SPY What obvious is this. The market has very high intention to climb higher and it tested both yesterday and today, but then it found out a lot of people are selling instead of buying, then it chose to go straight down into a stable level which is around 315 and waiting. I believe it is waiting for Job reports on Thursday.",2020/07/08,15:57:38
babybounce,/babybounce/message/226146813,Bullish,$BA Another good TSA passenger count. Trend is clearly up as economy opens $UAL $LUV $DAL $SPY,2020/07/08,15:58:40
KeepCalmGoLong,/KeepCalmGoLong/message/226146960,Bullish,$SPY $DJIA $NDAQ As all things should be.,2020/07/08,15:59:40
CaymanStyleBeef,/CaymanStyleBeef/message/226147352,Bearish,$SPY Lol...bulls are like Forest Gump after his mom died....he ran from the initial shock...(bad news) and just keep running (trending higher)...they ran across the entire country before realizing its not bringing mom back....(reality sets in) sorry boys...its a pandemic...you cant outrun your problems,2020/07/08,16:00:41
BigDreams2020,/BigDreams2020/message/226147283,Bullish,$SPY this wont go up if $XLF Does not participate in this rally,2020/07/08,16:00:41
MP93,/MP93/message/226147951,Bearish,$SPY But but my calls but but the fed. but but....learn to trade. Don't just buy calls. $314.50 coming into focus. Thanks again.,2020/07/08,16:01:42
mcubed41286,/mcubed41286/message/226147835,Bullish,$SPY Another bear trap.. jump in bears!,2020/07/08,16:01:42
stevenagy55,/stevenagy55/message/226147731,Bullish,$WMT $ROKU $SPY $BA $GOOG  Hey Guys !!! make as much as you want !!! I've made 96k in last two week. choose the best room !!!!https://zws.im/‍‍‌‍‌‌‌‌‍‌‍‌‌‌‍‌,2020/07/08,16:01:42
VikingTraders,/VikingTraders/message/226148580,Bullish,$SPY buy the dip,2020/07/08,16:02:43
dartx11,/dartx11/message/226148821,Bearish,$SPY please dont buy here just please atleast wait for 310 TRUST ME,2020/07/08,16:03:44
Venge,/Venge/message/226148709,Bearish,$SPY $SPX Message volume on here still dropping = lot of small shorts dead,2020/07/08,16:03:44
adamphillips76,/adamphillips76/message/226149800,Bullish,"$WMT $ROKU $SPY $BA $GOOG  Most profitable trading community. This community turned $12,000 into $1.2M in the last 5 months with 99% success rate!https://zws.im/‍‍‌‍‌‌‌‌‍‌‍‌‌‌‍‌",2020/07/08,16:06:46
Veritas28,/Veritas28/message/226149791,Bearish,"$SPY Just a small sample of what they’ll do to those dumb enough to but anything up here when they choose. Seriously dumb AF to buy anything here, like dumb as dirt. Cant wait for permabulls to get big red John Holmes thats coming soon.....gonna laugh my ass off😂🤟",2020/07/08,16:06:46
YourNextBoss,/YourNextBoss/message/226149727,Bearish,$SPY proof that first hour of trading is full of emotions,2020/07/08,16:06:46
risksavage_inthemarket,/risksavage_inthemarket/message/226150339,Bearish,"$SPY $TSLA $ZM $BA $AMZN epic crashes come from complacent tops. 

Watch out below you uneducated lemmings!

Please get educated. I’m 36 and retired. I play all day. I use cannabis. I’m a 14 year vet and entrepreneur living life with legal cannabis. Greenlane Holdings (GNLN) is the only bullish weed MSO currently IMO. 

I’m RETIRED ALREADY u fools. What is net worth? 🤔

Stop TRADING!! You’re not going to be a pro. This is a serious depression. 

I’m here to help. 

FB@risksavagemarket. Get educated NOW!!!! 

facebook.com/groups/WEEDed/...",2020/07/08,16:07:47
Valid,/Valid/message/226150352,Bearish,$SPY Who else bought puts at the top today,2020/07/08,16:07:47
yororo,/yororo/message/226149878,Bearish,$SPY Who turned off the printers?,2020/07/08,16:07:47
logiotek,/logiotek/message/226151212,Bearish,$SPY aight we rolling with that dump,2020/07/08,16:09:49
stockguru312,/stockguru312/message/226151215,Bearish,$SPY Another Pump and Dump 😂,2020/07/08,16:09:49
AlexanderHandleton,/AlexanderHandleton/message/226151208,Bearish,$IWM 136 next $SPY,2020/07/08,16:09:49
SpaceOddity83,/SpaceOddity83/message/226151202,Bullish,$SPY oh boy this things getting dunked on still,2020/07/08,16:09:49
ktrader300,/ktrader300/message/226151186,Bearish,$SPY green to red  yess just like I wanted  sold my 312 calls  and loaded puts.,2020/07/08,16:09:49
stockmarket_queen,/stockmarket_queen/message/226150612,Bearish,$SPY If you’ve been following me you know 316 was my hot spot for adding puts,2020/07/08,16:09:49
GrizzlyStocks,/GrizzlyStocks/message/226151401,Bearish,$SPY Lets break 313.50,2020/07/08,16:10:50
UVXYLUV,/UVXYLUV/message/226151359,Bearish,"$XAUUSD $SPY $UVXY Reaching monthly technical resistance to the Aug 2011 high of $1824.00. Overall we are bullish however could see a break at this level 
tradingview.com/x/prG6ejN1/",2020/07/08,16:10:50
Dborneman1,/Dborneman1/message/226151287,Bearish,$SPY there it is. 310 target,2020/07/08,16:10:50
moneybadger7,/moneybadger7/message/226152672,Bullish,$SPY LoL bears couldnt break. SKRR SKR BRRRRRRRRRR RRR RR,2020/07/08,16:12:54
RiskVsReward,/RiskVsReward/message/226152165,Bullish,"All right. Guys good lesson,  know when to stay on the side lines.  I have liquidated all my positions except for my electric plays: $TSLA , $UAVS Dip play and $WATT.  I am uncertain of the market and feel like we're beginning a down streak, I will likely short $SPY today as well.",2020/07/08,16:12:54
OpticalOption,/OpticalOption/message/226152130,Bearish,$SQ such a bubble $SPY,2020/07/08,16:12:54
Kurwacash,/Kurwacash/message/226152033,Bearish,$SPY GRAB YOUR NUTS AND HEAD FOR THE HILLS!,2020/07/08,16:12:54
skysaquon,/skysaquon/message/226152028,Bullish,@MarketMakerr look at $SPY rookie,2020/07/08,16:12:54
SethQue,/SethQue/message/226152004,Bearish,$SPY BTC more 314/317 at 1.03.  Very nice,2020/07/08,16:12:54
Kobe24,/Kobe24/message/226152911,Bearish,$OKE If you’re bearish hop on $OKE $SPY the easiest short a bear could of asked for,2020/07/08,16:13:55
PREMOSULTRA,/PREMOSULTRA/message/226152970,Bullish,"$VSTM UNDERVALUED SUPER 💎 
READY FOR A RUN!
 WORLDWIDE PIPELINE WITH FDA APPROVED ORAL CANCER DRUG, COVID 19 TRIALS,
STEVE COHEN LARGE STAKE AMONG OTHER HEAVYWEIGHTS,
JOHNSON & JOHNSON CHAIRMAN & PRESIDENT OF ELI LILY JOHN JOHNSON JUST APPOINTED TO BOARD OF DIRECTORS

 $SPY $DJIA $QQQ $NIO",2020/07/08,16:14:56
Veritas28,/Veritas28/message/226152999,Bearish,"$SPY Some assclown had balls to say mkt is extremely undervalued here.....😂😂. No euphoria at all, carry on😂",2020/07/08,16:14:56
PilotZee,/PilotZee/message/226152983,Bearish,$SPY haha not so fast you bull hooligans,2020/07/08,16:14:56
DonschlongJuan,/DonschlongJuan/message/226153786,Bearish,$SPY financials and real estate taking a beating. I wonder why!!!,2020/07/08,16:15:57
KansasCash,/KansasCash/message/226153543,Bullish,$SPY I like to see people make money!  Especially myself.,2020/07/08,16:15:57
cmb1179,/cmb1179/message/226154488,Bearish,$SPY done now for a bit today,2020/07/08,16:17:59
upandtotheright79,/upandtotheright79/message/226154718,Bearish,"$SPY it’s been fun, the money has been great, but can we have a shred of mkt integrity back please?",2020/07/08,16:18:59
Meikashishik,/Meikashishik/message/226154600,Bullish,$NIO $TWTR $WMT $SPY $SE   Another winning alert based on our custom ThinkorSwim script.     discord.com/invite/xtrades,2020/07/08,16:19:00
ajt555,/ajt555/message/226155337,Bearish,$SPY Daily consistent selloffs,2020/07/08,16:20:00
OhYesNotMe,/OhYesNotMe/message/226155870,Bullish,"$SPY The bears are losers, criminals, low iQ, rapists, some I assume are perhaps good people",2020/07/08,16:21:01
ManBullBear2020,/ManBullBear2020/message/226155849,Bearish,$SPY $TSLA head for the hills. I have the same feeling I did in march,2020/07/08,16:21:01
rickyspanish,/rickyspanish/message/226155840,Bullish,"$SPY Almost Boing Flip time, just a few more points in the VIX  =)",2020/07/08,16:21:01
B_Bart,/B_Bart/message/226155832,Bearish,"$SPY 312 coming, topped out",2020/07/08,16:21:01
BullRiderrr,/BullRiderrr/message/226155819,Bearish,$SPY i think PNC could file for bankruptcy,2020/07/08,16:21:01
Willrockhardd,/Willrockhardd/message/226156141,Bearish,$SPY sell sell sell!!! We go down to 300 by eow now lol,2020/07/08,16:22:03
monkey_man,/monkey_man/message/226156066,Bearish,$SPY This is why you hedge. ST,2020/07/08,16:22:03
ragnar09,/ragnar09/message/226156037,Bearish,$SPY shorted at perfect time back to 300,2020/07/08,16:22:03
Raex,/Raex/message/226156022,Bearish,$SPY no more stimulus maybe?,2020/07/08,16:22:03
Valid,/Valid/message/226156019,Bearish,$SPY Puts cashing! SELLOFF!,2020/07/08,16:22:03
BrotherBuehler,/BrotherBuehler/message/226156012,Bearish,$SPY I hope all bulls took profits in time,2020/07/08,16:22:03
illianamike,/illianamike/message/226155995,Bearish,$SPY  bye bye 310 incoming,2020/07/08,16:22:03
depression2020,/depression2020/message/226155904,Bearish,$SPY Have fun bulls?  .🐻 😂,2020/07/08,16:22:03
Kingoliver,/Kingoliver/message/226155897,Bearish,"$SPY selling off here. $TSLA about to nosedive with any continued selling. When it cracks, it will move hard.",2020/07/08,16:22:03
jackofnotrades,/jackofnotrades/message/226156447,Bearish,$SPY looks like $VIX $VXX is getting ready for their show,2020/07/08,16:23:04
CarltheGreenskeeper,/CarltheGreenskeeper/message/226156364,Bearish,$SPY  $310 is very likely..  a crash would teach these fools a lesson that BUY INTO BUBBLES,2020/07/08,16:23:04
stockguru312,/stockguru312/message/226156363,Bearish,$SPY Second shutdown is coming!,2020/07/08,16:23:04
DueDiligence,/DueDiligence/message/226156336,Bearish,$SPY Drain the swamp,2020/07/08,16:23:04
2020_25K_Challenge,/2020_25K_Challenge/message/226156307,Bearish,"$NFLX $SPY Welcome to my ted talk on shorting Netflix over 500 

Time: 1 hour
Profit: $1,000 

Follow for stock discussion and analysis",2020/07/08,16:23:05
Joelgas,/Joelgas/message/226156300,Bearish,$SPY feel sorry for all the irrationality exuberant bulls,2020/07/08,16:23:05
stockguru312,/stockguru312/message/226156965,Bearish,$SPY Classic Bull Trap 😭,2020/07/08,16:24:05
PilotZee,/PilotZee/message/226156943,Bearish,$SPY dump dump dumpppppp,2020/07/08,16:24:05
yuepingxiao,/yuepingxiao/message/226156905,Bearish,"$SPY TRUMP BREAKS WITH FAUCI, CLAIMS US IS IN ""GOOD PLACE"" IN FIGHT AGAINST CORONAVIRUS😆 Fauci puts",2020/07/08,16:24:05
oliviacabler80,/oliviacabler80/message/226156864,Bullish,"$WMT $ROKU $SPY $BA $GOOG   If you’re interested in day trading Stocks and Options, You can check this community: !!!!discord.com/invite/xtrades",2020/07/08,16:24:05
seals44,/seals44/message/226157514,Bearish,$SPY I’ll keep posting it until at least 280: Hell is coming 2.0,2020/07/08,16:25:11
UpDownSidways,/UpDownSidways/message/226157507,Bullish,"$SPY adding long, thank you shorts",2020/07/08,16:25:11
DrewDrews2,/DrewDrews2/message/226157450,Bearish,$SPY is going Red!!💵💵,2020/07/08,16:25:11
KeepCalmGoLong,/KeepCalmGoLong/message/226157488,Bullish,"$SPY @PPTrader3 How you feeling today, bear? 😭💀",2020/07/08,16:25:11
AlexanderHandleton,/AlexanderHandleton/message/226157349,Bearish,"$SPY 300 today because our federal govt is run by idiots. So sad 

twitter.com/politico/status...",2020/07/08,16:25:11
Preatorian,/Preatorian/message/226157322,Bullish,$SPY Looking for long entry now. Thanks,2020/07/08,16:25:11
ajt555,/ajt555/message/226157297,Bearish,$SPY You can't short anything that are parabolic because those are the only things that have strength.  You can go long value stocks because they have no value or strength.  And tech is literally the only thing holding the market.  Mrkt makes daily moves in mins.  You're either negative/flat or up a bit from playing parabolic pump and dump.  Either way...the market blows,2020/07/08,16:25:11
ragnar09,/ragnar09/message/226157283,Bearish,$SPY this is going to get ugly when it breaks 310,2020/07/08,16:25:11
BavariansM5,/BavariansM5/message/226157155,Bearish,$SPY i told u nasdaq was primed for diarrhea,2020/07/08,16:25:11
v3tuz,/v3tuz/message/226157153,Bearish,"$SPY bahahaha hahahaha, where all the bulls at that was talking big",2020/07/08,16:25:11
ACE52WeekHigh,/ACE52WeekHigh/message/226157128,Bearish,$SPY 313 July 08 .75 entry  Target SPY 311.25,2020/07/08,16:25:11
armandhammer,/armandhammer/message/226157767,Bearish,$SPY oh you think she's done? Aha,2020/07/08,16:26:12
TraderLeibniz,/TraderLeibniz/message/226157739,Bearish,$MNK $ENDP; markets still falling.  $IWM broke 140.  It will be a bad week for small caps if this continues. $SPY,2020/07/08,16:26:12
tsb11,/tsb11/message/226157611,Bullish,$SPY lol so this is when u drop another 200k into IVE IVW swing it make another 12-14k in a day or two. I’ll wait a few hrs though to make sure.,2020/07/08,16:26:12
BigJon98,/BigJon98/message/226157594,Bearish,$SPY Remove the tech performance to the rest and this garbage would be below 240 like it should be,2020/07/08,16:26:12
40for2Hours,/40for2Hours/message/226157588,Bullish,$SPY Ahhh I can see we’re going back to playing these stupid games again 🔥🍊,2020/07/08,16:26:12
