,all,neg,pos,neu
unhappy,8,7.0,,1.0
about,785,265.0,219.0,301.0
10,79,20.0,21.0,38.0
minutes.,8,4.0,2.0,2.0
That`s,126,35.0,59.0,32.0
very,370,130.0,162.0,78.0
funny.,12,1.0,7.0,4.0
Cute,7,1.0,5.0,1.0
kids.,10,3.0,4.0,3.0
"Ahhh,",2,1.0,,1.0
slept,37,13.0,7.0,17.0
through,114,35.0,22.0,57.0
game.,15,4.0,3.0,8.0
try,156,38.0,54.0,64.0
watch,208,44.0,58.0,106.0
tomorrow,282,71.0,87.0,124.0
though.,88,19.0,28.0,41.0
play,146,37.0,31.0,78.0
Army.,1,,,1.0
Thats,28,5.0,13.0,10.0
"it,",99,31.0,28.0,40.0
end.,11,3.0,6.0,2.0
Tears,1,,,1.0
Fears,1,,,1.0
vs,9,2.0,2.0,5.0
Eric,7,1.0,2.0,4.0
"Prydz,",1,,,1.0
DJ,9,,2.0,7.0
Hero,4,1.0,1.0,2.0
http://bit.ly/2Hpbg4,1,,,1.0
Born,2,1.0,,1.0
raised,4,2.0,1.0,1.0
NYC,18,8.0,3.0,7.0
living,41,17.0,8.0,16.0
Texas,10,4.0,1.0,5.0
years!,4,1.0,2.0,1.0
still,577,209.0,132.0,236.0
NY,14,4.0,4.0,6.0
case,22,5.0,5.0,12.0
"wonder,",1,,,1.0
busy,71,23.0,21.0,27.0
today,564,158.0,165.0,241.0
this,1290,433.0,360.0,497.0
coming,141,32.0,51.0,58.0
with,2011,489.0,721.0,801.0
adding,11,,8.0,3.0
tons,11,3.0,2.0,6.0
blogs,3,,1.0,2.0
stay,87,22.0,24.0,41.0
tuned,3,,,3.0
soooooo,11,4.0,5.0,2.0
sleeeeepy!!!,1,1.0,,
last,525,151.0,143.0,231.0
day,1165,230.0,594.0,341.0
o`,3,1.0,1.0,1.0
school,231,84.0,57.0,90.0
today....sniffle....,1,1.0,,
A,183,45.0,70.0,68.0
little,270,79.0,79.0,112.0
happy,389,27.0,312.0,50.0
wine,26,7.0,8.0,11.0
jeje,2,,2.0,
ok,123,24.0,39.0,60.0
it`sm,1,,1.0,
time,672,160.0,207.0,305.0
"cares,",1,,1.0,
jaja,1,,1.0,
Car,3,1.0,1.0,1.0
"happy,",8,2.0,3.0,3.0
big,157,44.0,62.0,51.0
dent,2,1.0,,1.0
boot!,3,1.0,,2.0
Hoping,14,1.0,8.0,5.0
theyre,2,,1.0,1.0
write,54,15.0,15.0,24.0
"off,",14,4.0,3.0,7.0
crossing,6,1.0,3.0,2.0
fingers,28,7.0,6.0,15.0
waiting,116,31.0,19.0,66.0
avid,2,1.0,1.0,
fan,54,10.0,31.0,13.0
****,796,405.0,181.0,210.0
magazine,5,1.0,1.0,3.0
your,1084,202.0,488.0,394.0
magazines,1,,1.0,
MAYDAY?!,1,,,1.0
RATT,1,,,1.0
ROCKED,3,,2.0,1.0
NASHVILLE,1,,,1.0
TONITE..ONE,1,,,1.0
THING,2,1.0,,1.0
"SUCKED,",1,,,1.0
NO,39,24.0,6.0,9.0
ENCORE!,1,,,1.0
LIKE,10,4.0,2.0,4.0
IN,34,11.0,8.0,15.0
THE,98,25.0,41.0,32.0
80`S,1,,,1.0
THEY,4,1.0,2.0,1.0
STILL,12,5.0,4.0,3.0
HAVE,16,6.0,2.0,8.0
FUN,10,,8.0,2.0
SHOW.,1,,,1.0
PEARCY,1,,,1.0
HAS,3,,,3.0
THAT,16,6.0,4.0,6.0
HOTT,1,,,1.0
BAD,5,3.0,1.0,1.0
BOY,1,,,1.0
LOOK,3,,2.0,1.0
to!,13,,6.0,7.0
But,312,88.0,70.0,154.0
only,429,131.0,87.0,211.0
available,18,5.0,2.0,11.0
5pm.,1,,1.0,
where,187,48.0,42.0,97.0
dear?,2,,1.0,1.0
Would,30,3.0,14.0,13.0
help,106,27.0,43.0,36.0
convert,4,,3.0,1.0
vids.ï¿½,1,,1.0,
girl,124,36.0,42.0,46.0
salon,2,,1.0,1.0
asked,22,8.0,5.0,9.0
'Shall,1,,,1.0
trim,1,,,1.0
eyebrows!',1,,,1.0
How,147,48.0,32.0,67.0
old,191,48.0,57.0,86.0
do,934,297.0,229.0,408.0
feel?,2,,1.0,1.0
egh,1,1.0,,
blah,9,5.0,2.0,2.0
boooooooooooo,1,1.0,,
dunno,23,10.0,1.0,12.0
wanna,234,92.0,50.0,92.0
work,837,290.0,191.0,356.0
HANGOVERS,1,1.0,,
SUCKKKKKK,1,1.0,,
Im,167,69.0,36.0,62.0
drunk,33,12.0,11.0,10.0
mess!,1,1.0,,
:visiting,1,,,1.0
friendster,5,1.0,,4.0
facebook,37,13.0,8.0,16.0
donbt,1,1.0,,
peel,1,1.0,,
"prawns,",1,1.0,,
also,136,36.0,45.0,55.0
dont,314,121.0,58.0,135.0
"shopping,",3,2.0,1.0,
money,100,44.0,15.0,41.0
crawling,3,2.0,,1.0
round,23,5.0,6.0,12.0
car,127,48.0,21.0,58.0
looking,159,40.0,63.0,56.0
more,589,150.0,170.0,269.0
which,109,40.0,26.0,43.0
case?,1,1.0,,
week,285,75.0,80.0,130.0
thrilled,7,3.0,4.0,
at,1741,530.0,468.0,743.0
mine.,11,3.0,4.0,4.0
Then,43,8.0,10.0,25.0
should,348,81.0,107.0,160.0
check,130,21.0,39.0,70.0
http://twittersucks.com,1,,,1.0
connect,6,3.0,1.0,2.0
other,164,46.0,38.0,80.0
tweeple,4,,2.0,2.0
hate,286,229.0,6.0,51.0
bored,90,70.0,2.0,18.0
"school,",12,4.0,2.0,6.0
freelesson(,1,,,1.0
freistunde,1,,,1.0
),79,16.0,31.0,32.0
hm...,2,,,2.0
us,172,38.0,64.0,70.0
guess...,2,,,2.0
****...u,1,1.0,,
dissappointed,1,1.0,,
romance,2,,1.0,1.0
zero,6,,3.0,3.0
funny,72,11.0,46.0,15.0
rather,49,13.0,14.0,22.0
early,129,20.0,40.0,69.0
run..but,1,,,1.0
morning,290,38.0,151.0,101.0
runner,1,,,1.0
Bah,3,2.0,,1.0
coworker,4,3.0,,1.0
ran,36,14.0,5.0,17.0
late,114,45.0,19.0,50.0
bag,23,6.0,9.0,8.0
smacked,2,1.0,1.0,
knee,21,14.0,1.0,6.0
hurts,99,86.0,3.0,10.0
later.,21,7.0,7.0,7.0
http://plurk.com/p/rp3k7,1,,,1.0
Aw.,3,2.0,1.0,
Torn,1,1.0,,
ace,7,1.0,2.0,4.0
hearts,3,1.0,1.0,1.0
#Hunchback,1,1.0,,
speaking,8,3.0,1.0,4.0
of?,2,,1.0,1.0
"friends,",13,4.0,4.0,5.0
sleepy..i,1,1.0,,
haha,310,43.0,134.0,133.0
yes,90,16.0,21.0,53.0
give,137,39.0,42.0,56.0
easily,4,1.0,2.0,1.0
What,170,61.0,51.0,58.0
better,317,44.0,177.0,96.0
spoil,3,2.0,1.0,
mum,57,16.0,17.0,24.0
than,255,78.0,85.0,92.0
let,172,63.0,41.0,68.0
kick,18,7.0,8.0,3.0
relax,14,1.0,7.0,6.0
over,332,107.0,77.0,148.0
nice,322,22.0,245.0,55.0
meal,11,6.0,4.0,1.0
bottle,17,4.0,5.0,8.0
favorite,64,12.0,37.0,15.0
wine?,1,,1.0,
Our,20,8.0,8.0,4.0
red,36,13.0,9.0,14.0
mannnn.....,1,1.0,,
_,64,14.0,21.0,29.0
iphone!!!,1,1.0,,
jealous....,1,1.0,,
http://bit.ly/NgnaR,1,1.0,,
Is,192,58.0,37.0,97.0
photoshoot.,2,,1.0,1.0
He`s,44,11.0,20.0,13.0
awesome...,2,,2.0,
worked,29,5.0,6.0,18.0
him,243,87.0,69.0,87.0
before?,3,,2.0,1.0
good,1032,153.0,677.0,202.0
friend.,15,2.0,8.0,5.0
Yay,30,3.0,18.0,9.0
playing,102,22.0,30.0,50.0
show,205,43.0,79.0,83.0
tonight!,34,8.0,16.0,10.0
Boo,12,4.0,1.0,7.0
it`s,767,232.0,232.0,303.0
soggy,1,,,1.0
right,325,115.0,87.0,123.0
before,203,56.0,45.0,102.0
Chilliin,1,,1.0,
know,744,222.0,176.0,346.0
such,142,42.0,68.0,32.0
"agent,",1,,,1.0
smell,12,2.0,3.0,7.0
smoke,9,3.0,3.0,3.0
#kitchenfire,3,,1.0,2.0
celtics-lakers,1,,1.0,
rematch,1,,1.0,
sounds,95,8.0,67.0,20.0
don`t,759,308.0,141.0,310.0
think?,8,,4.0,4.0
lol,495,83.0,173.0,239.0
Anyone,27,7.0,2.0,18.0
extra,30,7.0,12.0,11.0
Keane,1,,,1.0
ticket?,1,,,1.0
promise,12,1.0,5.0,6.0
buy,106,35.0,16.0,55.0
drink,64,19.0,12.0,33.0
take,244,61.0,61.0,122.0
rad,3,,1.0,2.0
pics,47,11.0,14.0,22.0
FB,15,7.0,1.0,7.0
/,41,5.0,19.0,17.0
Blog,2,,,2.0
"Flickr.,",1,,,1.0
etc,14,2.0,3.0,9.0
'you,3,1.0,1.0,1.0
can,725,167.0,215.0,343.0
ride,38,6.0,20.0,12.0
"one,",24,8.0,4.0,12.0
catch,58,15.0,17.0,26.0
summer,85,30.0,20.0,35.0
til,69,27.0,17.0,25.0
pop,12,2.0,3.0,7.0
open,44,15.0,11.0,18.0
one',2,,1.0,1.0
she,332,117.0,105.0,110.0
good!,47,7.0,32.0,8.0
gor-juz,1,,,1.0
yea,46,7.0,13.0,26.0
kno,16,7.0,4.0,5.0
yesterday,75,20.0,29.0,26.0
tha,20,5.0,5.0,10.0
hospital,20,11.0,5.0,4.0
talked,13,5.0,3.0,5.0
said,162,49.0,44.0,69.0
no,904,366.0,141.0,397.0
OK,15,4.0,5.0,6.0
Just,482,137.0,159.0,186.0
popped,6,2.0,1.0,3.0
say,276,69.0,90.0,117.0
Hi,58,7.0,27.0,24.0
things.,15,7.0,2.0,6.0
I`ll,295,62.0,103.0,130.0
probably,106,31.0,25.0,50.0
head,128,61.0,22.0,45.0
guttah,1,,,1.0
"WOW,",2,1.0,,1.0
AM,20,7.0,5.0,8.0
REALLY,30,14.0,7.0,9.0
MiSSiN,1,1.0,,
FAM(iLY),1,1.0,,
TODAY.,1,1.0,,
BADDD.,1,1.0,,
sources,3,2.0,,1.0
sooo,91,33.0,36.0,22.0
tired,156,105.0,14.0,37.0
"Hey,",28,2.0,13.0,13.0
change,74,27.0,13.0,34.0
"account,",2,,1.0,1.0
didn`t,323,122.0,57.0,144.0
even,269,116.0,64.0,89.0
tell,130,35.0,35.0,60.0
THANK,6,1.0,5.0,
YYYYYYYYYOOOOOOOOOOUUUUU!,1,,1.0,
lucky,43,4.0,31.0,8.0
kid...i,1,,1.0,
see,729,160.0,249.0,320.0
loserville,1,,1.0,
pity,10,5.0,2.0,3.0
oz....,1,,1.0,
fell,50,24.0,7.0,19.0
asleep,51,22.0,9.0,20.0
ride!,5,,1.0,4.0
Sick.,3,3.0,,
With,36,9.0,16.0,11.0
flu,33,16.0,6.0,11.0
thing.,30,11.0,6.0,13.0
Still,72,26.0,14.0,32.0
reply,46,14.0,17.0,15.0
SimFinger,1,1.0,,
problem,42,22.0,9.0,11.0
So,279,115.0,82.0,82.0
iRape,1,1.0,,
parody,3,1.0,,2.0
video,77,11.0,34.0,32.0
until,167,55.0,24.0,88.0
"response,",1,1.0,,
sorry,286,201.0,12.0,73.0
guys,178,42.0,78.0,58.0
Happy,447,6.0,416.0,25.0
Star,126,5.0,84.0,37.0
Wars,63,1.0,50.0,12.0
everyone!,35,3.0,27.0,5.0
Enjoy,46,1.0,43.0,2.0
holiday,55,9.0,23.0,23.0
(UK),2,,2.0,
Miles,2,1.0,,1.0
Essex,1,,,1.0
plenty,13,,6.0,7.0
warning,5,3.0,1.0,1.0
arrive,8,1.0,3.0,4.0
least,126,30.0,33.0,63.0
those,170,37.0,61.0,72.0
beers.,1,,,1.0
His,14,3.0,5.0,6.0
snoring,3,,1.0,2.0
annoying,16,14.0,1.0,1.0
n,139,51.0,44.0,44.0
keeps,34,11.0,6.0,17.0
sleeping,51,20.0,12.0,19.0
(like,5,,3.0,2.0
"now,",61,18.0,12.0,31.0
lol),2,,,2.0
honestly,9,4.0,4.0,1.0
wud,8,,1.0,7.0
eva,3,1.0,1.0,1.0
left,172,64.0,32.0,76.0
him.,37,13.0,12.0,12.0
bby,5,2.0,1.0,2.0
wish,402,100.0,197.0,105.0
good.,94,17.0,64.0,13.0
Well,107,24.0,41.0,42.0
isn`t,117,52.0,20.0,45.0
QUITE,1,,1.0,
ready,189,48.0,55.0,86.0
post,73,16.0,21.0,36.0
publicly,2,,2.0,
(still,2,,1.0,1.0
beta,9,1.0,2.0,6.0
testing),1,,1.0,
cool,151,13.0,92.0,46.0
script,7,1.0,4.0,2.0
coded,1,,1.0,
SWEEEEET,1,,1.0,
Fran,2,1.0,1.0,
awesome!!!!,1,,1.0,
_Mounce,1,,,1.0
lasts,5,,3.0,2.0
bedtime!,1,,,1.0
how,507,158.0,133.0,216.0
doing,214,64.0,61.0,89.0
???,12,4.0,2.0,6.0
*just,1,,,1.0
joined,15,2.0,6.0,7.0
twitter...*,1,,,1.0
pills,6,3.0,3.0,
in...,3,2.0,,1.0
eating,94,19.0,25.0,50.0
ice,61,15.0,19.0,27.0
cream,37,9.0,13.0,15.0
then,405,72.0,129.0,204.0
getting,330,125.0,68.0,137.0
graduation.,5,1.0,2.0,2.0
Mothers,113,1.0,98.0,14.0
Mums,5,2.0,3.0,
CASEY`S,1,1.0,,
GONE?!?!,1,1.0,,
BUT,29,10.0,4.0,15.0
WHY?!,1,1.0,,
"So,",20,5.0,6.0,9.0
piddled,1,1.0,,
carpet.,1,1.0,,
She`s,26,8.0,10.0,8.0
prolly,3,3.0,,
freaked,3,3.0,,
cause,124,53.0,29.0,42.0
new.,4,1.0,1.0,2.0
Can,52,11.0,16.0,25.0
back?,6,3.0,2.0,1.0
hemp,1,1.0,,
cloth,1,1.0,,
marvelous,2,1.0,,1.0
unfortunately,21,16.0,1.0,4.0
Gonna,44,14.0,16.0,14.0
read,140,26.0,47.0,67.0
story,28,10.0,3.0,15.0
bout,51,16.0,12.0,23.0
adam,4,,,4.0
lambert,3,,,3.0
online,54,17.0,7.0,30.0
bed.,56,12.0,27.0,17.0
Nighty,6,,,6.0
night,468,96.0,203.0,169.0
We,154,36.0,65.0,53.0
saw,162,38.0,62.0,62.0
none,30,11.0,6.0,13.0
3D,10,2.0,2.0,6.0
baddie`s,1,,1.0,
4am.,2,1.0,1.0,
And,276,95.0,94.0,87.0
beach.,8,3.0,3.0,2.0
Pretty,20,3.0,10.0,7.0
Certainly,1,,,1.0
Cheers,8,,7.0,1.0
"than,",2,,1.0,1.0
huh?,18,7.0,2.0,9.0
1,156,41.0,40.0,75.0
"my'horrible,",1,1.0,,
traumatic,1,1.0,,
jumping,6,3.0,1.0,2.0
cholla,1,1.0,,
accident.'-cholla`s,1,1.0,,
next,324,82.0,91.0,151.0
dirty,10,7.0,2.0,1.0
trick:pieces,1,1.0,,
starting,67,29.0,14.0,24.0
emerge,2,1.0,,1.0
hand!,1,1.0,,
Ouch!,2,2.0,,
realy,7,5.0,2.0,
wanted,117,37.0,35.0,45.0
everybodys,2,1.0,,1.0
Awesome.,4,,3.0,1.0
down,224,87.0,56.0,81.0
Ocean,4,,2.0,2.0
Beach,10,1.0,3.0,6.0
(if,3,,2.0,1.0
is.),1,,1.0,
By,7,,2.0,5.0
way.,20,2.0,8.0,10.0
'YourBiggestFan',1,,1.0,
re-al,1,,1.0,
you-rs.,1,,1.0,
Let`s,21,2.0,14.0,5.0
Pens!!,1,,,1.0
wear,35,10.0,8.0,17.0
black,33,8.0,8.0,17.0
most,122,34.0,48.0,40.0
blip,5,1.0,3.0,1.0
apart,12,9.0,2.0,1.0
obvious!,1,,1.0,
thanks,272,8.0,228.0,36.0
reblipping,1,,1.0,
safe,28,1.0,19.0,8.0
trip,62,15.0,17.0,30.0
joshy,1,,1.0,
poo.......you`ll,1,,1.0,
knock,3,,1.0,2.0
dead,49,30.0,3.0,16.0
speech,12,5.0,4.0,3.0
"woof,",1,,1.0,
allowed,19,6.0,3.0,10.0
add,43,4.0,12.0,27.0
me!!!!!!!!!,1,,,1.0
email,48,20.0,10.0,18.0
adress,1,,,1.0
loco_crime_1st.com,1,,,1.0
comment,30,4.0,9.0,17.0
has,554,211.0,129.0,214.0
tickets.......?,1,,,1.0
Thank,116,,105.0,11.0
"you,",77,11.0,41.0,25.0
Afrin,1,,1.0,
Nasal,1,,1.0,
Spray!,1,,1.0,
"Also,",21,8.0,5.0,8.0
giant,10,7.0,3.0,
teacup,1,,1.0,
ACSM.,1,,,1.0
unfathomable.,1,,,1.0
think,631,209.0,167.0,255.0
kept,13,4.0,3.0,6.0
comfort,3,,1.0,2.0
our,230,68.0,73.0,89.0
bedrooms.,1,,,1.0
yes?,2,,1.0,1.0
"Aww,",10,2.0,4.0,4.0
daddy!,2,1.0,1.0,
He,85,31.0,33.0,21.0
works,37,6.0,12.0,19.0
7,66,21.0,17.0,28.0
almost,119,35.0,35.0,49.0
tries,1,,1.0,
SF,11,2.0,3.0,6.0
many,129,42.0,48.0,39.0
tests,5,2.0,1.0,2.0
todayyy,1,1.0,,
feel,480,270.0,99.0,111.0
confident,1,1.0,,
anyy.,1,1.0,,
graduation,20,8.0,2.0,10.0
done,192,58.0,53.0,81.0
sad..,7,7.0,,
anyone,91,33.0,14.0,44.0
hang,53,16.0,17.0,20.0
out???,1,1.0,,
hahaa,3,,2.0,1.0
awesomee,1,,1.0,
holy,8,3.0,2.0,3.0
smokes!,1,,1.0,
star,40,2.0,25.0,13.0
trek,17,,11.0,6.0
freaking,22,8.0,6.0,8.0
awesomeeeee,1,,1.0,
Fallout,3,2.0,,1.0
3,193,53.0,48.0,92.0
making,126,48.0,31.0,47.0
"jump,",1,,,1.0
"health,",2,,,2.0
"money,",5,3.0,,2.0
ammo,1,,,1.0
food,77,25.0,32.0,20.0
worry,35,9.0,17.0,9.0
it.,255,77.0,86.0,92.0
had,717,201.0,292.0,224.0
it!,155,42.0,71.0,42.0
"itunes,",1,,,1.0
songs.,5,,3.0,2.0
What`s,21,10.0,3.0,8.0
gloomy,8,5.0,1.0,2.0
weather?,3,1.0,1.0,1.0
sun,121,38.0,33.0,50.0
must,124,38.0,40.0,46.0
come,341,95.0,105.0,141.0
heading,42,8.0,14.0,20.0
victoria,2,,1.0,1.0
gardens,3,1.0,1.0,1.0
impulse,1,,,1.0
buys,2,1.0,,1.0
Not,192,99.0,28.0,65.0
forward,128,23.0,66.0,39.0
week:,1,1.0,,
"Maths,",1,1.0,,
"Geography,",1,1.0,,
English,18,5.0,4.0,9.0
French,17,6.0,5.0,6.0
"exams,",5,2.0,,3.0
totalling,1,1.0,,
hours,189,61.0,39.0,89.0
Poor,38,25.0,1.0,12.0
Get,29,5.0,8.0,16.0
outside,77,31.0,23.0,23.0
"garden,",6,1.0,,5.0
forget,46,20.0,10.0,16.0
suncream!!!,1,1.0,,
prob,19,6.0,7.0,6.0
hun,21,6.0,9.0,6.0
"dads,",1,,,1.0
watching,254,49.0,86.0,119.0
mtv,3,1.0,1.0,1.0
