,all,neg,pos,neu
army,9,4.0,,5.0
thats,155,43.0,57.0,55.0
tears,14,4.0,4.0,6.0
fears,3,1.0,1.0,1.0
vs,14,3.0,3.0,8.0
eric,11,2.0,3.0,6.0
prydz,1,,,1.0
dj,14,1.0,4.0,9.0
hero,19,2.0,8.0,9.0
bit,384,104.0,100.0,180.0
ly,185,39.0,61.0,85.0
2hpbg4,1,,,1.0
born,17,4.0,5.0,8.0
raised,4,2.0,1.0,1.0
nyc,30,10.0,7.0,13.0
living,46,19.0,10.0,17.0
texas,16,5.0,4.0,7.0
years,109,28.0,39.0,42.0
still,689,247.0,157.0,285.0
ny,27,8.0,7.0,12.0
case,34,8.0,9.0,17.0
wonder,39,10.0,10.0,19.0
busy,96,28.0,29.0,39.0
ing,170,36.0,58.0,76.0
adding,13,,9.0,4.0
tons,14,4.0,2.0,8.0
blogs,4,,1.0,3.0
stay,99,24.0,27.0,48.0
tuned,4,,1.0,3.0
soooooo,14,4.0,6.0,4.0
sleeeeepy,1,1.0,,
last,592,169.0,162.0,261.0
day,2107,330.0,1253.0,524.0
school,334,117.0,83.0,134.0
sniffle,5,3.0,1.0,1.0
little,298,88.0,88.0,122.0
happy,994,43.0,857.0,94.0
wine,41,9.0,15.0,17.0
jeje,2,,2.0,
ok,297,70.0,96.0,131.0
ism,1,,1.0,
time,962,233.0,297.0,432.0
cares,6,2.0,2.0,2.0
jaja,2,,2.0,
car,168,66.0,25.0,77.0
big,202,56.0,75.0,71.0
dent,2,1.0,,1.0
boot,14,5.0,1.0,8.0
hoping,75,9.0,47.0,19.0
theyre,3,,1.0,2.0
write,61,15.0,16.0,30.0
crossing,10,3.0,3.0,4.0
fingers,39,8.0,11.0,20.0
waiting,156,46.0,24.0,86.0
avid,2,1.0,1.0,
fan,75,13.0,41.0,21.0
magazine,8,2.0,2.0,4.0
magazines,2,,1.0,1.0
mayday,3,,1.0,2.0
ratt,1,,,1.0
rocked,14,1.0,9.0,4.0
nashville,5,1.0,2.0,2.0
tonite,31,6.0,6.0,19.0
thing,306,98.0,92.0,116.0
sucked,18,14.0,1.0,3.0
encore,2,,,2.0
80s,14,3.0,2.0,9.0
show,295,62.0,118.0,115.0
pearcy,1,,,1.0
hott,6,,3.0,3.0
bad,482,308.0,47.0,127.0
boy,77,14.0,29.0,34.0
available,27,7.0,5.0,15.0
5pm,6,2.0,2.0,2.0
dear,62,17.0,18.0,27.0
help,159,56.0,51.0,52.0
convert,4,,3.0,1.0
vids,8,,5.0,3.0
girl,212,51.0,78.0,83.0
salon,3,,2.0,1.0
asked,22,8.0,5.0,9.0
shall,36,9.0,6.0,21.0
trim,1,,,1.0
eyebrows,3,1.0,,2.0
old,228,61.0,70.0,97.0
feel,522,286.0,111.0,125.0
egh,1,1.0,,
blah,23,16.0,3.0,4.0
boooooooooooo,1,1.0,,
dunno,28,12.0,3.0,13.0
wan,253,97.0,53.0,103.0
work,1148,401.0,255.0,492.0
hangovers,2,1.0,,1.0
suckkkkkk,1,1.0,,
drunk,44,14.0,15.0,15.0
mess,24,15.0,2.0,7.0
visiting,13,6.0,1.0,6.0
friendster,10,2.0,2.0,6.0
facebook,98,34.0,18.0,46.0
donbt,1,1.0,,
peel,1,1.0,,
prawns,2,1.0,1.0,
dont,341,133.0,66.0,142.0
shopping,95,19.0,35.0,41.0
money,139,59.0,22.0,58.0
crawling,7,2.0,1.0,4.0
round,31,7.0,10.0,14.0
looking,209,42.0,93.0,74.0
week,429,110.0,130.0,189.0
thrilled,7,3.0,4.0,
mine,129,37.0,43.0,49.0
check,167,23.0,52.0,92.0
twittersucks,1,,,1.0
connect,7,3.0,2.0,2.0
tweeple,11,1.0,6.0,4.0
hate,325,262.0,7.0,56.0
bored,181,142.0,3.0,36.0
freelesson,1,,,1.0
freistunde,1,,,1.0
hm,14,6.0,1.0,7.0
us,304,68.0,112.0,124.0
guess,204,60.0,45.0,99.0
dissappointed,1,1.0,,
romance,4,,1.0,3.0
zero,9,2.0,3.0,4.0
rather,52,14.0,14.0,24.0
early,177,32.0,54.0,91.0
run,91,20.0,32.0,39.0
morning,577,71.0,294.0,212.0
runner,1,,,1.0
bah,14,11.0,,3.0
coworker,4,3.0,,1.0
ran,41,15.0,7.0,19.0
late,163,65.0,32.0,66.0
bag,28,6.0,12.0,10.0
smacked,3,2.0,1.0,
knee,22,15.0,1.0,6.0
hurts,140,123.0,3.0,14.0
plurk,117,29.0,28.0,60.0
rp3k7,1,,,1.0
aw,73,20.0,23.0,30.0
torn,5,4.0,,1.0
ace,14,1.0,5.0,8.0
hearts,4,2.0,1.0,1.0
hunchback,1,1.0,,
speaking,13,4.0,2.0,7.0
friends,260,85.0,95.0,80.0
sleepy,36,13.0,13.0,10.0
haha,567,81.0,257.0,229.0
yes,304,45.0,115.0,144.0
give,149,44.0,46.0,59.0
easily,6,1.0,2.0,3.0
better,419,63.0,221.0,135.0
spoil,4,2.0,2.0,
mum,88,19.0,40.0,29.0
let,243,78.0,71.0,94.0
kick,23,7.0,9.0,7.0
relax,16,1.0,9.0,6.0
nice,438,29.0,339.0,70.0
meal,16,8.0,6.0,2.0
bottle,22,4.0,7.0,11.0
favorite,71,12.0,42.0,17.0
red,61,22.0,14.0,25.0
mannnn,3,2.0,,1.0
iphone,85,23.0,20.0,42.0
jealous,59,37.0,1.0,21.0
ngnar,1,1.0,,
photoshoot,5,,2.0,3.0
awesome,330,7.0,277.0,46.0
worked,38,5.0,10.0,23.0
good,1576,205.0,1065.0,306.0
friend,195,44.0,72.0,79.0
yay,214,16.0,137.0,61.0
boo,104,46.0,12.0,46.0
soggy,2,1.0,,1.0
right,467,148.0,137.0,182.0
chilliin,1,,1.0,
know,942,265.0,258.0,419.0
agent,3,,2.0,1.0
smell,12,2.0,3.0,7.0
smoke,12,3.0,3.0,6.0
kitchenfire,3,,1.0,2.0
celtics,2,,1.0,1.0
lakers,17,6.0,6.0,5.0
rematch,1,,1.0,
sounds,130,11.0,96.0,23.0
think,710,225.0,193.0,292.0
lol,1024,167.0,358.0,499.0
anyone,134,44.0,20.0,70.0
extra,32,8.0,12.0,12.0
keane,1,,,1.0
ticket,28,7.0,7.0,14.0
promise,21,3.0,10.0,8.0
buy,118,37.0,18.0,63.0
drink,80,20.0,16.0,44.0
take,272,70.0,72.0,130.0
rad,3,,1.0,2.0
pics,59,11.0,24.0,24.0
fb,61,18.0,20.0,23.0
blog,80,16.0,27.0,37.0
flickr,8,3.0,2.0,3.0
etc,36,16.0,6.0,14.0
ride,50,8.0,24.0,18.0
catch,66,17.0,21.0,28.0
summer,148,49.0,40.0,59.0
til,79,29.0,19.0,31.0
pop,16,3.0,5.0,8.0
open,72,28.0,14.0,30.0
gor,2,1.0,,1.0
juz,4,1.0,2.0,1.0
yea,76,13.0,25.0,38.0
kno,22,9.0,6.0,7.0
yesterday,164,44.0,61.0,59.0
tha,22,6.0,5.0,11.0
hospital,37,20.0,8.0,9.0
talked,15,5.0,4.0,6.0
said,185,53.0,49.0,83.0
popped,9,2.0,4.0,3.0
say,329,82.0,115.0,132.0
hi,165,29.0,68.0,68.0
things,186,55.0,60.0,71.0
probably,124,37.0,27.0,60.0
head,157,71.0,30.0,56.0
guttah,1,,,1.0
missin,6,4.0,,2.0
fam,30,11.0,10.0,9.0
ily,19,2.0,13.0,4.0
baddd,2,2.0,,
sources,3,2.0,,1.0
tired,267,176.0,20.0,71.0
hey,299,38.0,116.0,145.0
change,85,29.0,15.0,41.0
account,64,17.0,14.0,33.0
even,305,125.0,78.0,102.0
tell,167,40.0,48.0,79.0
thank,290,5.0,247.0,38.0
yyyyyyyyyoooooooooouuuuu,1,,1.0,
lucky,77,9.0,48.0,20.0
kid,47,26.0,9.0,12.0
loserville,1,,1.0,
pity,11,5.0,3.0,3.0
oz,8,1.0,4.0,3.0
fell,54,25.0,7.0,22.0
asleep,62,27.0,14.0,21.0
flu,62,27.0,12.0,23.0
reply,58,17.0,18.0,23.0
simfinger,1,1.0,,
problem,70,39.0,14.0,17.0
irape,1,1.0,,
parody,4,2.0,,2.0
video,98,15.0,42.0,41.0
response,8,2.0,3.0,3.0
guys,249,57.0,109.0,83.0
star,186,10.0,122.0,54.0
wars,92,3.0,73.0,16.0
everyone,256,45.0,139.0,72.0
enjoy,144,8.0,120.0,16.0
holiday,89,11.0,44.0,34.0
uk,59,16.0,18.0,25.0
miles,36,11.0,10.0,15.0
essex,1,,,1.0
plenty,19,1.0,9.0,9.0
warning,6,4.0,1.0,1.0
arrive,10,1.0,3.0,6.0
least,138,32.0,39.0,67.0
beers,4,,,4.0
snoring,5,,2.0,3.0
annoying,29,24.0,2.0,3.0
keeps,37,13.0,7.0,17.0
sleeping,74,29.0,17.0,28.0
honestly,14,5.0,6.0,3.0
wud,8,,1.0,7.0
eva,3,1.0,1.0,1.0
left,209,78.0,39.0,92.0
bby,6,2.0,1.0,3.0
wish,513,123.0,253.0,137.0
ready,222,51.0,64.0,107.0
post,87,21.0,24.0,42.0
publicly,2,,2.0,
beta,13,2.0,2.0,9.0
testing,9,1.0,3.0,5.0
cool,267,19.0,175.0,73.0
script,9,2.0,4.0,3.0
coded,1,,1.0,
sweeeeet,1,,1.0,
fran,3,1.0,2.0,
_mounce,1,,,1.0
lasts,7,,5.0,2.0
bedtime,16,2.0,6.0,8.0
joined,17,2.0,6.0,9.0
pills,10,5.0,4.0,1.0
eating,116,25.0,34.0,57.0
ice,78,18.0,26.0,34.0
cream,60,11.0,22.0,27.0
getting,390,146.0,86.0,158.0
graduation,43,18.0,6.0,19.0
mothers,723,14.0,630.0,79.0
mums,39,8.0,26.0,5.0
caseys,1,1.0,,
gone,171,64.0,33.0,74.0
piddled,1,1.0,,
carpet,4,1.0,1.0,2.0
prolly,5,3.0,,2.0
freaked,3,3.0,,
cecause,147,57.0,33.0,57.0
hemp,1,1.0,,
cloth,2,1.0,,1.0
marvelous,3,1.0,1.0,1.0
unfortunately,59,41.0,2.0,16.0
read,159,30.0,56.0,73.0
adam,11,3.0,2.0,6.0
lambert,4,,1.0,3.0
bed,383,104.0,124.0,155.0
nighty,9,2.0,,7.0
night,762,153.0,329.0,280.0
saw,182,42.0,73.0,67.0
none,37,15.0,7.0,15.0
3d,24,5.0,8.0,11.0
baddies,1,,1.0,
4am,11,7.0,3.0,1.0
beach,74,17.0,23.0,34.0
pretty,214,30.0,125.0,59.0
certainly,11,3.0,,8.0
cheers,27,1.0,24.0,2.0
huh,38,9.0,6.0,23.0
horrible,49,38.0,1.0,10.0
traumatic,1,1.0,,
jumping,7,3.0,2.0,2.0
cholla,1,1.0,,
accident,15,11.0,1.0,3.0
chollas,1,1.0,,
next,364,90.0,104.0,170.0
dirty,13,8.0,2.0,3.0
trick,5,1.0,,4.0
pieces,9,3.0,1.0,5.0
starting,81,36.0,16.0,29.0
emerge,2,1.0,,1.0
hand,43,21.0,11.0,11.0
ouch,43,28.0,1.0,14.0
realy,8,5.0,2.0,1.0
wanted,128,40.0,37.0,51.0
everybodys,2,1.0,,1.0
ocean,15,3.0,7.0,5.0
yourbiggestfan,1,,1.0,
re,56,11.0,23.0,22.0
al,12,4.0,4.0,4.0
rs,4,,3.0,1.0
pens,7,1.0,,6.0
wear,41,11.0,9.0,21.0
black,48,10.0,14.0,24.0
blip,84,13.0,34.0,37.0
apart,22,14.0,2.0,6.0
obvious,6,1.0,2.0,3.0
thanks,676,22.0,567.0,87.0
reblipping,1,,1.0,
safe,39,3.0,25.0,11.0
trip,88,20.0,28.0,40.0
joshy,1,,1.0,
poo,11,6.0,2.0,3.0
knock,4,,1.0,3.0
dead,77,44.0,8.0,25.0
speech,13,5.0,4.0,4.0
woof,1,,1.0,
allowed,21,6.0,4.0,11.0
add,55,7.0,13.0,35.0
email,60,23.0,11.0,26.0
adress,1,,,1.0
loco_crime_1st,1,,,1.0
ment,40,6.0,11.0,23.0
tickets,67,15.0,16.0,36.0
afrin,1,,1.0,
nasal,3,1.0,1.0,1.0
spray,6,1.0,2.0,3.0
giant,11,7.0,3.0,1.0
teacup,1,,1.0,
acsm,1,,,1.0
unfathomable,1,,,1.0
kept,13,4.0,3.0,6.0
fort,8,1.0,2.0,5.0
bedrooms,1,,,1.0
aww,151,45.0,71.0,35.0
daddy,27,11.0,11.0,5.0
works,50,10.0,17.0,23.0
almost,151,44.0,41.0,66.0
tries,1,,1.0,
sf,13,3.0,3.0,7.0
many,143,43.0,55.0,45.0
tests,7,2.0,1.0,4.0
todayyy,3,1.0,1.0,1.0
confident,2,1.0,,1.0
anyy,1,1.0,,
done,274,73.0,84.0,117.0
hang,64,18.0,22.0,24.0
hahaa,4,,3.0,1.0
awesomee,3,,2.0,1.0
holy,23,10.0,3.0,10.0
smokes,2,1.0,1.0,
trek,88,6.0,47.0,35.0
freaking,25,9.0,7.0,9.0
awesomeeeee,1,,1.0,
fallout,3,2.0,,1.0
making,149,49.0,38.0,62.0
jump,19,2.0,4.0,13.0
health,12,3.0,3.0,6.0
ammo,1,,,1.0
food,121,37.0,47.0,37.0
worry,48,13.0,24.0,11.0
itunes,29,7.0,10.0,12.0
songs,61,11.0,29.0,21.0
gloomy,14,7.0,4.0,3.0
weather,157,56.0,56.0,45.0
sun,160,47.0,43.0,70.0
must,154,47.0,48.0,59.0
heading,71,13.0,24.0,34.0
victoria,6,1.0,3.0,2.0
gardens,3,1.0,1.0,1.0
impulse,1,,,1.0
buys,2,1.0,,1.0
forward,135,25.0,70.0,40.0
maths,10,4.0,1.0,5.0
geography,8,5.0,,3.0
english,51,17.0,9.0,25.0
french,36,11.0,9.0,16.0
exams,56,22.0,8.0,26.0
totalling,1,1.0,,
hours,246,78.0,47.0,121.0
poor,161,119.0,7.0,35.0
outside,118,39.0,38.0,41.0
garden,51,14.0,15.0,22.0
forget,58,22.0,14.0,22.0
suncream,1,1.0,,
prob,29,9.0,8.0,12.0
hun,41,10.0,21.0,10.0
dads,28,10.0,9.0,9.0
watching,340,64.0,110.0,166.0
mtv,13,5.0,1.0,7.0
sims2,1,,,1.0
minutee,1,,,1.0
absolutely,45,11.0,24.0,10.0
matter,33,10.0,9.0,14.0
chickadee,1,,,1.0
mia,10,4.0,2.0,4.0
totally,126,51.0,40.0,35.0
adore,8,,5.0,3.0
cd,30,4.0,14.0,12.0
bmfing,1,,1.0,
webcam,4,3.0,1.0,
chatting,13,1.0,4.0,8.0
nephews,3,,1.0,2.0
nothing,184,69.0,38.0,77.0
spesh,1,,1.0,
bank,80,13.0,38.0,29.0
monday,188,44.0,74.0,70.0
nonetheless,4,2.0,1.0,1.0
need,579,184.0,124.0,271.0
ask,77,16.0,19.0,42.0
something,234,70.0,69.0,95.0
lmao,76,21.0,29.0,26.0
splinters,1,1.0,,
painful,17,14.0,,3.0
heroic,1,1.0,,
saving,16,3.0,4.0,9.0
mr,50,15.0,16.0,19.0
pickle,1,1.0,,
tweeting,46,16.0,14.0,16.0
sunday,137,25.0,60.0,52.0
10th,10,,5.0,5.0
may,263,58.0,110.0,95.0
celebrating,15,1.0,11.0,3.0
yer,12,5.0,4.0,3.0
mom,269,46.0,153.0,70.0
decided,36,11.0,13.0,12.0
trans,3,,2.0,1.0
frm,9,3.0,3.0,3.0
relaxed,3,,3.0,
natural,2,1.0,1.0,
whole,116,40.0,25.0,51.0
looked,48,10.0,19.0,19.0
roots,5,,2.0,3.0
age,22,9.0,6.0,7.0
instant,8,1.0,2.0,5.0
gratification,1,,1.0,
namaskar,2,,,2.0
namaste,1,,,1.0
marathi,2,,,2.0
people,370,131.0,99.0,140.0
word,48,9.0,16.0,23.0
naaaah,1,,,1.0
congrats,55,1.0,42.0,12.0
cuss,2,,,2.0
reward,3,1.0,1.0,1.0
humous,1,,,1.0
doritos,1,,,1.0
missed,192,121.0,12.0,59.0
bececause,267,115.0,53.0,99.0
movie,247,43.0,116.0,88.0
normal,27,9.0,3.0,15.0
group,33,5.0,12.0,16.0
pilots,1,,,1.0
large,15,5.0,3.0,7.0
airline,2,1.0,,1.0
terrible,23,21.0,,2.0
evans,3,2.0,1.0,
call,165,44.0,37.0,84.0
childline,1,1.0,,
unfortunatley,2,2.0,,
aerlingus,1,1.0,,
longer,42,22.0,6.0,14.0
fly,36,8.0,11.0,17.0
copenhagen,3,3.0,,
ryanair,1,1.0,,
billund,1,1.0,,
drive,79,25.0,20.0,34.0
actually,181,40.0,56.0,85.0
google,54,7.0,20.0,27.0
term,14,4.0,3.0,7.0
sucks,205,175.0,2.0,28.0
tho,144,27.0,42.0,75.0
watched,81,14.0,42.0,25.0
win,83,11.0,41.0,31.0
fight,24,7.0,10.0,7.0
warmed,3,1.0,,2.0
sprite,2,1.0,,1.0
tastes,10,4.0,4.0,2.0
sore,65,46.0,8.0,11.0
throat,43,32.0,2.0,9.0
11th,3,1.0,1.0,1.0
cross,12,5.0,3.0,4.0
country,16,9.0,2.0,5.0
beat,33,7.0,12.0,14.0
dumbo,2,,,2.0
candle,2,1.0,1.0,
wax,2,1.0,1.0,
enjoyable,4,,3.0,1.0
unassuming,1,,1.0,
unpretentious,1,,1.0,
suppose,27,8.0,6.0,13.0
endearing,2,,2.0,
relate,5,2.0,3.0,
valerias,1,,,1.0
lunch,143,35.0,39.0,69.0
arraving,1,,,1.0
cousins,21,3.0,12.0,6.0
babtizm,1,,,1.0
whatever,37,6.0,16.0,15.0
spell,12,1.0,3.0,8.0
goooooddd,2,,2.0,
tweets,90,13.0,36.0,41.0
three,58,14.0,18.0,26.0
workout,14,2.0,8.0,4.0
mention,28,8.0,8.0,12.0
glasses,15,6.0,3.0,6.0
fine,77,8.0,37.0,32.0
walk,55,15.0,17.0,23.0
cruisers,1,1.0,,
ones,82,24.0,24.0,34.0
lmfao,12,2.0,7.0,3.0
mmmmmmmm,1,,,1.0
neither,17,5.0,2.0,10.0
two,188,43.0,73.0,72.0
hour,119,42.0,28.0,49.0
lunchbreak,2,,1.0,1.0
yeah,438,109.0,113.0,216.0
bugger,8,5.0,1.0,2.0
forgot,97,43.0,20.0,34.0
washing,17,8.0,3.0,6.0
machine,29,8.0,5.0,16.0
_laurie,4,,2.0,2.0
sending,33,10.0,9.0,14.0
blessings,7,,7.0,
healing,3,2.0,1.0,
thoughts,23,6.0,7.0,10.0
peace,27,6.0,12.0,9.0
ah,81,19.0,23.0,39.0
feeling,258,136.0,67.0,55.0
cookers,1,,,1.0
dad,92,25.0,34.0,33.0
modem,5,4.0,,1.0
offline,6,3.0,1.0,2.0
god,146,39.0,71.0,36.0
bless,45,4.0,37.0,4.0
3g,5,3.0,,2.0
network,13,5.0,4.0,4.0
tim,9,4.0,2.0,3.0
schedule,16,4.0,3.0,9.0
brutal,1,1.0,,
nope,57,13.0,8.0,36.0
coquitlam,1,,,1.0
parent,7,3.0,1.0,3.0
teacher,17,5.0,5.0,7.0
boring,69,54.0,2.0,13.0
skl,4,2.0,,2.0
saturday,95,33.0,34.0,28.0
lichfield,1,,1.0,
tweetup,5,,3.0,2.0
else,100,30.0,24.0,46.0
booming,1,,,1.0
thunder,14,9.0,3.0,2.0
storm,16,3.0,2.0,11.0
maybe,208,54.0,54.0,100.0
bevvies,1,,1.0,
2day,38,12.0,8.0,18.0
twn,1,,1.0,
great,621,36.0,483.0,102.0
first,263,72.0,79.0,112.0
myers,1,,1.0,
lydia,2,,2.0,
excited,158,12.0,115.0,31.0
ever,234,61.0,107.0,66.0
url,12,4.0,2.0,6.0
previous,8,4.0,1.0,3.0
timer,1,1.0,,
a4fdb,1,1.0,,
removed,5,1.0,2.0,2.0
space,24,9.0,4.0,11.0
messed,22,18.0,1.0,3.0
es,70,17.0,22.0,31.0
iv,5,4.0,,1.0
hurt,82,62.0,7.0,13.0
tooth,12,7.0,1.0,4.0
eilish,1,,,1.0
cassie,4,,1.0,3.0
drawing,11,4.0,3.0,4.0
petiton,2,1.0,,1.0
draw,8,3.0,1.0,4.0
cookies,19,1.0,6.0,12.0
pineapples,1,,,1.0
auditions,4,,1.0,3.0
mander,1,,,1.0
text,56,19.0,10.0,27.0
please,260,57.0,98.0,105.0
nooooo,10,7.0,,3.0
secret,16,4.0,2.0,10.0
namerebecca,1,1.0,,
neice,2,1.0,1.0,
grown,14,4.0,5.0,5.0
fixed,27,4.0,9.0,14.0
hopes,14,4.0,7.0,3.0
cars,19,9.0,6.0,4.0
illness,2,2.0,,
terminal,3,1.0,,2.0
following,103,16.0,41.0,46.0
tweet,192,54.0,60.0,78.0
sir,15,1.0,6.0,8.0
woulda,5,1.0,2.0,2.0
honey,21,5.0,9.0,7.0
men,49,13.0,22.0,14.0
origins,5,,4.0,1.0
wolverine,31,2.0,12.0,17.0
loved,101,4.0,77.0,20.0
voted,16,3.0,8.0,5.0
personal,10,4.0,3.0,3.0
myspace,51,7.0,14.0,30.0
keep,187,53.0,57.0,77.0
talking,88,31.0,20.0,37.0
fakes,2,,1.0,1.0
helped,9,2.0,4.0,3.0
thru,28,7.0,3.0,18.0
hrdest,1,,1.0,
life,254,94.0,89.0,71.0
finally,224,37.0,98.0,89.0
marriage,10,5.0,1.0,4.0
counseling,1,,,1.0
_420,1,,,1.0
ended,29,10.0,3.0,16.0
stupid,134,112.0,6.0,16.0
rats,4,3.0,1.0,
impromptu,2,1.0,,1.0
pool,38,7.0,13.0,18.0
party,157,33.0,61.0,63.0
except,47,12.0,6.0,29.0
swim,17,3.0,7.0,7.0
