textID,text,sentiment
c6d0c7676c,namaskar & namaste r both the same marathi people say namaskar its a marathi word should i naaaah,neutral
ef74bab7f3,congrats i cuss like that in a matter of minute but didn/t know until now there be a reward for it,neutral
f3cf8ec01b,humous and dorito/s oh yes,neutral
cb1b0d191d,miss all the awesome weather because she be in a movie,negative
3e67a75303,today be go to be a normal day for i hope we have a group of pilot from a large airline e in last night so it be too much drink,neutral
997a62f83f,these kid be terrible if i be in good evans i/d call childline,negative
7e1757d4f0,unfortunatley aerlingus no longer fly to copenhagen so we/re have to fly ryanair to billund and drive up to copenhagen one of the day,negative
254546cd2c,what/s sad be that i actually have to google that term that suck tho,negative
7e4ed52c4a,hate fighting,negative
5069ae7a15,i watch that too i didnt want her to win but she put up a good fight lol,neutral
48cdcd5f28,car warm sprite taste like sore throat,negative
1b1b02af59,just come th in cross country and beat dumbo,neutral
ae71041e21,candle wax be very enjoyable,positive
11c10e3fc5,she/s unassuming and unpretentious she/s just as i suppose that/s why she/s so endearing because we can relate to her,positive
19526ac03e,tomorrow valeria/s lunch go to get my hair do but im arraving late get my cousin babtizm or whatever you spell it,neutral
960bbdc0c3,goooooddd morning tweet week three of my workout do i mention i get my new glass yesterday,positive
fd285fe74a,me too i hate my puter so much,negative
a5a1c996c0,fine go to do my big walk today or so mile,positive
20ec7c7c32,i want red cruiser i don/t like the other one lmfao,negative
b948984e8d,mmmmmmmm it in the morning,neutral
6824c44c21,me neither,neutral
02d140362f,have about hour work to do on a sunday boo i will find time for a two hour lunchbreak though yeah,neutral
5f93cc70ff,bugger forget i still have wash in my machine,negative
4e6a5c0034,laurie send love blessing & heal thought to you & family peace,positive
e4e9b8713a,my back hurt really bad,negative
08975f62a8,ah yes i know that feel,neutral
4a1ce7dc3b,night of the cooker with my dad,neutral
328a0e76bd,my modem have be offline for a week now god bless the g network tim just leave again may schedule have be brutal,negative
abbd0db2a5,nope i be in coquitlam,neutral
940eb93dd5,have parent teacher thing yesterday so bore go to skl on saturday lol,negative
c78bf59e67,# lichfield #tweetup sound like fun hope to see you and everyone else there,positive
e73425ffdc,big booming thunder storm almost here maybe we can all go home early ah probably not,neutral
e56eeb4968,few bevvies day in twn great on a day off,positive
7162d447ab,first night in myers just not the same w/out lydia but i/m actually excite about this summer,positive
f3d95b57b1,good morning,positive
5e4eac2b2e,its the best show ever,positive
bc02870b7d,url in previous post to timer job should be: //bit ly/afdb i/d remove space which mess up url ^es,negative
80e45e833f,i think iv hurt my tooth and eilish and cassie be have a draw petiton to draw cooky and pineapple haha: l,neutral
f29df52d91,i want to know when the audition be mander text or reply please,neutral
079e4e3472,or even nooooo not the secret namerebecca please,negative
557e676fe4,i miss my neice can/t wait to see her bad n grow * * * * lol,negative
8d09044937,i need to get my puter fix,neutral
9d3a1e0269,really hop her car/s illness be not terminal,negative
7ff2dbbe25,all the cool people i want to find for follow today be #english and i guess the english don/t tweet,neutral
5a254fbb98,no sir i woulda put honey but i don/t have any,neutral
417176c08e,who watch x men origins: wolverine i totally love it haha,positive
2bf5c7dba7,i vote do u have a personal myspace i keep talk to fake i <you u help me thru the hrdest time of my life: x,positive
8407ac30b0,i/m sad that i miss you guy last night,negative
6ed347b1a5,finally get a call for marriage counseling day late,neutral
97625460cf,ok then,neutral
32e4ffe225,why baby,neutral
24ee55f264,today be the last day of high school for me and i end up go home sick stupid dead rat,negative
82b75647fd,we/re have an impromptu pool party except i don/t know how to swim so i can/t get in,neutral
a0a306868a,lose my tooth day whilst i be eat gum oww,negative
9b11b686ec,happy year <,positive
7e7bc11e45,oh i hella forget to say my official good morning like to hear it here it go goooooooooooood morrrrrrrrning twitterville lol,positive
28dbada620,* phew * will make a note in case anyone else run into the same issueï¿½,neutral
3e880ec28d,what about me i vote every day for you,negative
38271074d1,i/m starve this diet be kill me but i can/t eat after pm,negative
ef12a3d183,i talk to you,neutral
f0db54f5bf,im soo bore im deffo miss my music channel,negative
e651d415c6,nite nite bday girl have fun at concert,positive
931a866d3f,have nicotine replacement patch on for hour so far so good but i do sleep for most of those hour get a bit twitchy now,neutral
7a718b23ef,sanderson what/s with twatter lately either i can/t get on or the reply don/t turn up,neutral
a6fccce9db,should be sleep lose my voice a couple day ago,negative
c017d0c221,: //twitpic /xlm hate when my parked car get hit,negative
287755c5dd,i/ve heard this fall i/m wait too,neutral
58c435d2cf,more nightmare * huggles *,neutral
e6ee6826df,i be such a creeper i feel disappointed because of it * * * * my cyberstalking skills the internet = no more privacy,negative
01b2476dd7,go to bed its late and i have headache,negative
e02cf4af4c,happy mother/s day to all mom out there,positive
2dc0dc0d5d,grab coffee from then make mom breakfast,neutral
1b13ed8b4b,im think that im go to have fun tonight and maybe some change be ing,positive
b6b35af246,thanks before the major chop,neutral
375e74d063,haha i know i cant handle the fame and thank you,positive
4700be3234,just get up and updated my ipod,neutral
e5c6a6bb5a,yes sober hahaha tanghaling tapat dude haha wild i don/t knowwww plan plan before you go to us,positive
4f84bea1cc,we never miss icarly my son have a huge crush on miranda,positive
4c73ad2888,saw james carville in the store today his head be really that bald,neutral
2dcd8766a8,yellow for: //blip fm/~zg,neutral
234093bef1,which mean you/re just go to have to e back to vancouver and have it our way hahah,neutral
ca832cad51,feel smooth like chrome,positive
a8734230b6,ew traffic,negative
0b5c2a7d7c,download song while try to sneak a lil homework in too which should be my main priority not song lol,neutral
e70d294d95,at ra ra your not alone i need coffee too,neutral
f84b89a828,sound like me,neutral
ee37bea884,bad day the day you realize what mess you/ve put me through will be one of the happy day of my life,neutral
242d92151a,walk to class i hate not have a bike especially mine,negative
f3a77c2b5e,nesmith,neutral
1d6411e9dd,failed inspection do you know you can pass wo/oven but not wo/anti tip bracket which be only sell w/oven this be bad than tax,negative
151c10cc39,jonas brother live to party it/s rock so hard i love the song,positive
7b1927e748,happy mother/s day to all the mother in the world,positive
9a6f4d05d5,min through the hr mins google wave demo that look a lot of fun would love to test it though: //bit ly/wnmsc,positive
0cb4504f2c,sleepy tabz be head to bed fun night listen through the next episode of joss/d,positive
ae21c1ac38,the exception for a short dude: larenz fineass tate yum,neutral
8f3e73cf09,screw the review i think wolverine be awesome but not enough dominic monaghan for my liking,positive
c7489a23fa,if you follow us recently please dont be offend that we haven/t follow back we hit our limit hopefully we will be free soon,positive
148ac38bea,yes i work to,neutral
641555ac70,hmmm maybe that/s what they mean they elude to something brand new but you know how the medium be,neutral
4bda359cbb,do at the spa now meet vic for some late lunch,neutral
ed084a1fa7,happy monday up and about go to tavares today hope everyone have a bless day,positive
1af124bc1c,always have want to go to oz,neutral
e98226e842,thx,neutral
85ec413e54,: //twitpic /jaz cool luv it,positive
7df7221145,that/s why i need to be there to represent the blackberry,positive
0ab8f9c4bc,okay so i/m dedicate my th tweet to the fact that i/m go to the apple store because there be a huge crack on the glass screen,neutral
06cad97de6,if only we could ever actually be allow to stay here and do that,neutral
37f6bd5ac5,let me know how that turn out,neutral
9bef0d7135,be that sas i detect as long as it isn/t back sas haha,neutral
7436ec1a2c,yeah i be think about that ahaha,positive
cf10e9309a,sport bar shatranjanpoli rest ph all sport bar andheri w dont know whether that help google ki jai ho,neutral
ce69e99e71,i/m not sleep at all until accepts my appology,negative
6402e14398,wolverine be boss seriously and will i be be in it what the * * * *,negative
914c40995f,i live for pain bring it on,neutral
258f37341e,okay i/m out for a while back later,neutral
77ba0fee75,# powerblog what be this powerblog challenge you keep talk about i/m a newbie follower,neutral
96a4ce0d47,almost died laptop screen be set to% brightness after i reinstall window vista get a headache now #insanedefaults,positive
5bcc50c275,wait for tish to get off get to drive my mom crv to pick her up all my myself and duckie first time,neutral
c5645758be,try to decide on a movie with the friend not go to well lol: p no bible study nite which mean * * * * day cake buy my own,negative
7e3c091fc2,go to shower because i don/t want to smell at school tomorrow,neutral
869bb56451,sigh you know i be,neutral
09ad12cc5c,discover cause of a bug in the new #netplayer build publishing bug fix now hopefully new beta by tomorrow,positive
251aa82551,here be free twitter tool will get you follower: //short to/q: //jijr /hulz: //short to/r: //ve org/xpg/,neutral
8e0a0ffbe1,just get home from work and be chug down a big bottle of apple juice,neutral
799f65f193,yes it do please dont/ go if you die i will cry which normally lead to small animal get harm,negative
d06582e26d,write report card soooo tire but what an amazing day check it out on fb soon,positive
dbe1d16b29,it be only once for my big brother and i/m do now,neutral
7809dd704a,good news: finally finish my #easactive workout that have be pause for hour bad news: my resistance band be torn,neutral
97334eb7c0,well good morning all what a wonderful day in the neighborhood thanks for all those that be now follow another this morning,positive
e1546f901a,ftsk and mercy mercedes be amaze tonight as always,positive
2ece7f3810,hope he be ok,positive
ba309a37d1,can/t school just be do already it hurt too much see him every day,positive
84ca20505a,i wait listen to wind blow through the tumbleweed be none of you old enough to know what to do when someone say 'crackerack ',neutral
de8c4c410d,hell yeah,neutral
e33d5ceea2,him shirt at dinner do you need to ask do it actually have ville on it,neutral
394881b7d0,i know,neutral
52d8be9124,huh what the * * * * smelly noooo i love alex vixon,neutral
dabe649ee3,go to a party last night dindin and i show up in match outfit great mind think alike anyway happy birthday ate lara,positive
2a5bb8d827,happy b day just wake up on this side of earth so wish be bit late,positive
dbbbbe6059,thank you for teach me value and to be a good person each day i love so much you/re the best mum in the world,positive
894e188d01,happy mother day,positive
a91ca2ffae,* laugh * i/m glad that you have self confidence it/s a wonderful trait to have i/ll applaud extra loud for it okay,positive
89d5b3f0b5,thanks,positive
fe0abe1754,twitter after day,neutral
1b6380b1b3,get ready for week its too nice today to be stick inside work,positive
02c004bc2d,i be tres depress,negative
b4d5f1e13e,felt like * * * * behave like my son; ate to pensate pig out on home roast sugar almond painful tum throw up still feel sick,negative
80481307d5,happy mother day people i love my mom a lot still,positive
05a0e60f99,i/m sorry to hear that,negative
e3cc598980,that/s awesome dude yay for surprise celebrity i get to meet him a few year ago he be soooo friendly,positive
a2cf6cc397,it make me happy to hear a girl talk or tweet about the nba but could you give my nugget some love,positive
53e78f3f89,be get the hang of twitter,neutral
ba83f744d8,you know your neck be jack up when you be force to pay for park bc you can/t turn you head to parallel park in the free space,negative
2dd0cddb70,i want it back now: : //bit ly/ppwz,neutral
e3a1b65ef3,go to miss my roomie we will no longer be roomy start tomorrow,negative
7ae37ef593,bath with two little angel keyla and janice,neutral
73fa7068a2,yep finish chock full of spell and grammatical error but i/m clean it up tomorrow and pop it up hehe,negative
f5b15be6f6,hahahha lol true that i always remember my bd but i can never remember what date or even day it be,neutral
68bda81bb9,family be here hang with them,neutral
59e77db781,watch ellen love her then do the dish and tan it/s gorgeous out,positive
e3731b6ce8,what/s goin on hun i/m worry about you,negative
b09362ee8e,im not bannished but i be at work till,negative
c4f9792d55,morning if i get to see it i/ll let you know right now i/m go to go see wolverine,neutral
20d4300a14,red top tabloid build em up knock em down,neutral
7b69f49c42,tonight in party w/ my girl minus vita,positive
519a5d3be7,why not now you make me sad i think you/d be jump for joy,neutral
aa97eca66f,simple my a #at,neutral
d3230b7cfd,the pic i just upload be the baby pic of my cat missy be now an adult and a pretty little kitty but batty be in kitten heaven now,neutral
294df18b9f,i saw the play of it here it be amaze,positive
e5e2d9d1f3,i be glad to break my twitter virginity with you two,positive
b7a9ba95d0,dinner with the fam i have miss them,negative
6943d0f480,live that/s what i want more the good bound to be a few bad egg though but they will soon learn,neutral
9e047ed52a,hell yeah kellynn get a twitter finally,neutral
a54d3c2825,i know it be worth a shot though,positive
5b578d0b4c,just open a facebook account i/m a little confused i don/t really get it twitter seem much good,positive
c4ab28566e,ship i/m stuck,negative
162a2510d2,dustbin baby on at cannot wait x,positive
c25871ec9e,not go to dwell on it it happen it/s pass just a shame as he be so supportive such be life x,negative
ddd4dd7be4,it look like the office tv do get mlb network and it look like mlbn will not be televise the det/bal game today #wieters,neutral
d2af698d65,home empty hand no ic find today i shall now indulge in my cupcake from magnolia bakery,neutral
1594011c6d,lay in bed til workkk oh the life definitely pinch a nerve,negative
bb61a7094b,today be a busy day exhaust,negative
454ea2153b,i be go to go on sunday but now i/ve get too much go on that weekend,neutral
b5dd587dd2,sorry to hear ur flight get cancel that blow,negative
e5160216a5,ohh my tooth be hurts ohh im sad it very hurt,negative
ea3320d696,before i get too distracted i/d like to thank my new follower for take the trouble to follow me and to my others: feelin the love,positive
5680a0b488,u think u have bill haii just finish pay mine that/s y i/m break,negative
ed6c2e4824,not sure it didn/t say it be big i jst saw the pic of u on ur last bday you look so pretty i miss you,neutral
a8f2acd515,sore throat plan the tet out to marwell though good time,neutral
e9f7f78cfa,mcfly gig last nightt omg it be amazin didnt sit down through the whole thing mcfly do you see me and ma best mate we be in tutu,positive
4c71b5fb91,day without sleep and now a migraine i think life postr be mean to be relax,negative
be8544ffb1,there,neutral
0404648e1c,suck,negative
e136c0f2af,whens the sway sway winner announce,neutral
032e865dc7,k will check it out,neutral
d723ea3299,do pretty well up and wide awake,positive
3d208b8e59,i want to wake up early and get a coffee tomorrow today it/s go to be a busyy day but have to keep write booo whoo,neutral
f1f5e8edfa,i miss daddy and mommy,negative
51f4502988,my dog be officially depressed that my brother/s dog be go he doesn/t want to go outside and when we do he play half heartedly,negative
728c29215f,i just realize that i can/t forward text msg with my iphone,neutral
c9091836ce,my frist post off to find a new car for my parent excite,positive
9668542b2a,argh noo miss the killer on wossy that suck miss out on brandon total failure anyone know if it/s repeat must investigate,negative
cd5d081760,seriously bore without anyone to talk to but not tired enough for sleep,negative
061eb4c0de,i be lose please help me find a good home,negative
c20cb786c4,it/s a peter & gordon morning> and i go to piece and i wannahide / go to piece and i almost die / ever: //blip fm/~yk,neutral
7733e8541a,ok so i/ve now get a bit of a bad back after lift all drum hardware into my car downer,negative
58eda20efc,lmao smh that one throw me off,neutral
2f5c77dfb3,oh nice go,positive
4646623c1d,be get ready for work work all weekend,neutral
a97db072ed,gonna celebrate mother day with the family but gonna start the partying tonite,positive
f3117413cc,i agree with you,positive
59cb0c3a14,i only do puters be hopeless at everything else,negative
322b61740c,degree gross sky and thunderstorm perfect match for my mood lol,positive
7179c215a7,nd aww thanks,positive
1f581d48bc,sorry rb be on p for me,negative
c42982a22d,i saw amazing heeels but they be too big,neutral
9191e574bb,i just stick my finger down my throat and there be a bunch of bump on my tongue & throat,negative
f4e428e4b3,dang last url go down: //blip fm/~aigm,negative
1ee0b44db0,ohoh i miss all ur tweet im gonna have to stay awake all night to see the announcement now * * * * time difference,negative
4095d52d2d,damnit all that suck you be one of the one i think i/d drag back lol,negative
4491189459,my bos she/s move to nyc,neutral
e8be898842,this be sooo crazy i have fever,negative
9b388b2cd9,be spend her saturday morning take note for a research essay because some stupid * * * * recall the book i/m use not fair,negative
3d1238a2f0,i think i need some new friend,neutral
98ff5a440e,look forward to your gig in ireland see ya there,neutral
b94aaf845e,please review sunehre ad placement: //tinyurl /oowmk,positive
95d0ad2e17,aww you loooove me,positive
b8e58e1a21,be hungry twitter i want food </,neutral
39923bb286,awesome lucky you,positive
b751f39570,yea i should know but tell me everything p: send me direct message tell haha,neutral
c1b915d1d5,haha im jewish i love that one,positive
f38f53fbde,have a great time out in the beer garden wit the boyos i think the sun get to me a bit though feel a bit ill,neutral
c2a17084e9,l/m on day too matt no fun this weekend,negative
3848e03ac5,u really don/t think so maybe ur right lol btw what phone u use think u tell me b i might have an app for u,neutral
356ad29589,i feel your pain mine be the same way,negative
3696d1db81,es home in two day,neutral
81e6c0ac2d,sadly no it didn/t e with one,negative
12cfc10225,cant wait to see my boy tomorrow,positive
9f51c335d0,ehhh no just a check up i have a dentist app next week though get my molar pulled/root canal,neutral
81e29d1a0b,aww i miss drive down elmwood,negative
3773846bc3,omg wango tango be * * * * awsome i love my baby for take me,positive
6f3818a39e,version of our live interactive trans siberian ticket planner be launch: : //tinyurl /cljwm its very cool,positive
2e6ee964a4,i really wish i could go,positive
759b899f29,yeah real hard but i know you/ll get by with it smile,neutral
12da1098a2,i/m in december that/s not good at all next big birthday be after it fly by for sure,negative
38e44e0f32,this have make my night way too funny,positive
b534d768ca,woo cavs happy mother/s day,positive
c422db675c,i make that same face when i get home and your mom be watch soap,neutral
a34bf825fc,i have to go to work now,neutral
dbc45af041,i can/t believe you go and get boba without me,neutral
018c0cf1f9,and to you too how be you today,neutral
7e820f005a,thanks for the warm wele we didn/t make plan because our arrival time be so up in the air,positive
e839d6a472,day and count,neutral
a210eda5c9,sorry friend i/m swamp with deadline right now and we have family visit to boot no charade for me,negative
47990d2312,brainfreeze,neutral
340600d483,just discover a shorting of gravity when you use twitpic integrate it doesn/t subtract the pic url from the character limit,neutral
5fcf7bd80c,my sunburn be peel,negative
9e964bdfda,perky purple nail polish isn/t as perky when its chipped,neutral
3d635198c2,: //twitpic /sx before they put a camera in the smoker pit i can no longer vandalize that door without be catch,neutral
bba9d463f4,lay alone since mook/s soo fy in his f/n play pen i think it be ill at first now i don/t have no one to cuddle with,negative
54a62c239a,i hate the dentist,negative
ebc8565a98,nothing aim at you just join in sorry,negative
cf888f0df3,i/m take a twitter break cell be die,negative
0456aab9bb,qood morninq,neutral
85b2dbf969,write my english original writing storyyyyy and listen to /a little respect/ by erasure aaaaaah,neutral
30dd327860,need more follower,neutral
4c8d61cfd0,i wish i could get my nail do stupid job,negative
ef200df027,the little wormy from labyrinth sadly pass away today but its ok as he still around in a happy ghost form aww: //twitpic /aim,neutral
bd0fa6cebd,the 'no pant' idea could be the new attempt world wide to attract business back to the airline,neutral
2c80b2043e,have a good one,positive
1ecbc820d1,yep infact she be popular miss india talented film actress and lot more,positive
02e569bee0,dosen/t want to go to work tomorrow,negative
f6f3b8b7a4,daniel have win dsds his voice be great,positive
41f4eb92b9,[ o] i wish the birthday massacre would e to australia i think they say they/re think about it tho: //tinyurl /plfch,neutral
7a341d71fe,be hop to go to red lobster this weekend,neutral
0ddd346323,x atl u mean jack barakat/s wow so have u ever go to his house hehe i mean ur ssoo lucky to have the address,positive
38a6cb940a,i sure do hope it be: this afternoon,positive
a0f446e1bf,it mean that you be now famous congrats,positive
db0db7f325,my phone pass away yesterday he jump off the table search for a new phone,negative
123fa2ef14,i have such fantastic friend include several one meet through here thanks for be in my life you be such amazing people,positive
8ebbcfcfd1,tamlyn wish she be as cool as my sock draw,positive
47c5298bb9,so no rice or crusty bread with the chili aawww,neutral
38c25280f1,we be of like mind this even my dear,neutral
f83634c7f2,e and save me from my packing please,neutral
301f7824f5,yes i love tea if that make me typically english then so be it,positive
715e081e22,a mouth for sure,positive
5459ddc56e,decde i finally just have hour of history at pm but i go to my highschool at be to make some homework with a friend,neutral
e8f99c2de0,pancake with lemon and sugar thanks,positive
b53d8f2b09,si no bueno i guess i just don/t entertain him: /,negative
71dddc0dff,i/m so hunrgy right now and these heel kill me i can hardly walk in them,negative
ca57a8830c,both electronic key stop work there be no keyhole cant get in my car so much for technology,negative
0f0a1d8c75,yay three follower good to know more than one person in this big wide world like fishies,positive
